,date_of_price,name,distillery,age,vintage,bottled,ABV,ml,numbered,limited_edition,single_cask,ichiros_malt,latest_price
264,2021-03-01,"Chichibu, The Peated (Ichiro´s Malt), One of 6700 Bottles",Chichibu,3.0,2010.0,2013.0,53.5,700,True,False,False,True,335
265,2020-02-01,"Chichibu, The Peninsula Hotel, One of 240 Bottles",Chichibu,,,2018.0,58.0,700,True,False,False,False,2092
266,2021-04-01,"Chichibu, The US Edition (Ichiro´s Malt), One of 1235 Bottles (Cask 1882 )",Chichibu,,,2018.0,56.4,750,True,False,False,True,611
267,2021-05-01,"Chichibu, The US Edition, One of 1556 Bottles",Chichibu,,,2019.0,55.5,750,True,False,False,False,564
268,2021-05-01,"Chichibu, The US Edition (Ichiro´s Malt), One of 2109 Bottles",Chichibu,,,2020.0,55.5,750,True,False,False,True,571
269,2020-12-01,"Chichibu, Travel Exclusive (Ichiro´s Malt), One of 642 Bottles",Chichibu,,,2019.0,57.5,700,True,False,False,True,583
270,2021-01-01,"Chichibu, Travel Exclusive (2018 Release), One of 610 Bottles",Chichibu,,,2018.0,60.6,700,True,False,False,False,738
271,2021-02-01,"Chichibu, Unpeated Single Cask, (Cask 1292)",Chichibu,6.0,2011.0,2017.0,58.6,700,False,False,True,False,1205
272,2021-04-01,"Chichibu, Velier 70th Anniversary (Ichiro´s Malt), (Cask 2588)",Chichibu,4.0,2013.0,2017.0,61.9,700,False,False,False,True,1400
273,2021-05-01,"Chichibu, Virgin Oak Cask, One of 212 Bottles (Cask 2933)",Chichibu,7.0,2013.0,2020.0,50.9,700,True,False,False,False,1402
274,2021-05-01,"Chichibu, Warrior Series, One of 265 Bottles (Cask 2369)",Chichibu,8.0,2009.0,2017.0,61.9,700,True,False,False,False,2676
275,2020-12-01,"Chichibu, Whisky Council (Ichiro´s Malt), One of 215 Bottles",Chichibu,6.0,2008.0,2014.0,61.3,700,True,False,False,True,1063
276,2014-08-01,"Chichibu, Whisky Talk 2012 (Ichiro´s Malt), One of 446 Bottles",Chichibu,12.0,2000.0,2012.0,60.1,700,True,False,False,True,222
277,2021-05-01,"Chichibu, Whisky Talk 2015, One of 593 Bottles",Chichibu,5.0,2010.0,2015.0,60.8,700,True,False,False,False,1338
278,2021-04-01,"Chichibu, Speciality Drinks, White Wine Cask, One of 100 Bottles (Cask 2279)",Chichibu,7.0,2012.0,2019.0,60.4,700,True,False,False,False,1166
279,2021-02-01,"Chichibu, Wine Cask (Ichiro´s Malt), One of 216 Bottles (Cask 5073)",Chichibu,6.0,2012.0,2018.0,61.9,700,True,False,False,True,914
280,2020-06-01,"Chichibu, Zodiac Series (Ichiro´s Malt), One of 271 Bottles (Cask 1471)",Chichibu,6.0,2011.0,2017.0,61.6,700,True,False,False,True,1468
281,2019-09-01,"Chichibu, Zoetrope (Ichiro´s Malt), One of 196 Bottles (Cask 552)",Chichibu,8.0,2009.0,2017.0,61.4,700,True,False,False,True,3312
282,2015-06-01,"Eigashima Shuzo, Shin White, b'<p class=""bottle_secondary""/>'",Eigashima Shuzo,,,,40.0,500,False,False,False,False,59
283,2018-08-01,"Fuji Gotemba, Kirin-Seagram, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,,,,43.0,760,False,False,False,False,38
284,2021-04-01,"Fuji Gotemba, Kirin-Seagram, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,,,,43.0,720,False,False,False,False,27
285,2020-01-01,"Fuji Gotemba, (Cask gm16hp)",Fuji Gotemba,,,2019.0,40.0,500,False,False,False,False,48
286,2019-12-01,"Fuji Gotemba, b'<p class=""bottle_secondary""/>'",Fuji Gotemba,18.0,,,43.0,700,False,False,False,False,222
